distance,1,2,3,4,5,6,7
140.668,,,,,,,
141.047,,,,,,,
141.426,,,,,,,
141.805,,,,,,,
142.184,,,,,,,
142.564,,,,,,,
142.943,,,,,,,
143.322,,,,,,,
143.701,,,,,,,
144.08,,,,,,,
144.459,,,,,,,
144.839,,,,,,,
145.218,,,,,,,
145.597,,,,,,,
145.976,,,,,,,
146.355,,,,,,,
146.734,,,,,,,
147.114,,,,,,,
147.493,,,,,,,
147.872,,,,,,,
148.251,,,,,,,
148.63,,,,,,,
149.009,,,,,,,
149.388,,,,,,,
149.768,,,,,,,
150.147,,,,,,,
150.526,,,,,,,
150.905,,,,,,,
151.284,,,,,,,
151.663,,,,,,,
152.043,,,,,,,
152.422,,,,,,,
152.801,,,,,,,
153.18,,,,,,,
153.559,,,,,,,
153.938,,,,,,,
154.318,,,,,,,
154.697,,,,,,,
155.076,,,,,,,
155.455,,,,,,,
155.834,,,,,,,
156.213,,,,,,,
156.592,,,,,,,
156.972,,,,,,,
157.351,,,,,,,
157.73,,,,,,,
158.109,,,,,,,
158.488,,,,,,,
158.867,,,,,,,
159.247,,,,,,,
159.626,,,,,,,
160.005,,,,,,,
160.384,,,,,,,
160.763,,,,,,,
161.142,,,,,,,
161.522,,,,,,,
161.901,,,,,,,
162.28,,,,,,,
162.659,,,,,,,
163.038,,,,,,,
163.417,,,,,,,
163.796,,,,,,,
164.176,,,,,,,
164.555,,,,,,,
164.934,,,,,,,
165.313,,,,,,,
165.692,,,,,,,
166.071,,,,,,,
166.451,,,,,,,
166.83,,,,,,,
167.209,,,,,,,
167.588,,,,,,,
167.967,,,,,,,
168.346,,,,,,,
168.726,,,,,,,
169.105,,,,,,,
169.484,,,,,,,
