distance,sample1,sample2,sample3,sample4,sample5,sample6,sample7,sample8
55.357,0.21603842,0.21633637,0.18797975,0.18272735,0.21983577,0.22627216,0.28013354,0.33493728
55.736,0.21379565,0.23251722,0.1857184,0.18648806,0.2260768,0.23100995,0.27700149,0.33499997
56.115,0.22934516,0.22086073,0.17415182,0.17854508,0.21871239,0.22394057,0.27841803,0.31511523
56.495,0.24242704,0.20742905,0.16398278,0.17780181,0.21203894,0.21644961,0.27019639,0.29232562
56.874,0.23763016,0.19257566,0.16351225,0.18069168,0.22323267,0.216161,0.27976339,0.30547588
57.253,0.2367711,0.19983348,0.167129,0.19548493,0.20726456,0.22215701,0.28796723,0.3296918
57.632,0.2364194,0.1998649,0.17400434,0.19389855,0.2168802,0.22593491,0.27850701,0.31934191
58.011,0.22780577,0.2067614,0.1811325,0.19383199,0.21577019,0.22222186,0.27614017,0.30955105
58.39,0.22747714,0.19860813,0.19007255,0.20524725,0.20945783,0.23430791,0.28861143,0.32117574
58.77,0.22426577,0.19808972,0.18986186,0.20374962,0.19945881,0.24306357,0.28521245,0.31860002
59.149,0.23014656,0.20456991,0.19090124,0.20067671,0.19170211,0.23825445,0.29456589,0.33017246
59.528,0.23880631,0.1917352,0.19988342,0.19843581,0.20656021,0.22874645,0.29205313,0.33524553
59.907,0.236454,0.18913527,0.2026153,0.17653715,0.19972629,0.21534381,0.28737997,0.33033443
60.286,0.22396596,0.19888305,0.19552225,0.17648168,0.19212115,0.21361537,0.28654001,0.33073149
60.665,0.22502104,0.20193071,0.1873196,0.1845356,0.19062776,0.21902118,0.28734082,0.34015663
61.045,0.22757515,0.21487538,0.1801774,0.16516626,0.18725315,0.22210836,0.28875024,0.32624358
61.424,0.23929638,0.19495566,0.17915207,0.16135008,0.19402466,0.22426161,0.27860666,0.30725224
61.803,0.22938551,0.19897731,0.18028976,0.17139529,0.20189281,0.22510799,0.26961625,0.30026698
62.182,0.2219711,0.19667586,0.17926443,0.16221538,0.19879013,0.22300987,0.27788416,0.30862108
62.561,0.22450792,0.1867317,0.18022656,0.17778517,0.18572409,0.22170625,0.27010386,0.29757632
62.94,0.22515365,0.18996787,0.18654709,0.17534459,0.20529863,0.22712503,0.26141597,0.29915937
63.319,0.21251571,0.20273975,0.18755135,0.17509499,0.2062125,0.22517933,0.27404028,0.29654185
63.699,0.21327675,0.19974708,0.18156089,0.174385,0.19819278,0.21870014,0.27733961,0.29674039
64.078,0.21318451,0.18541996,0.17892733,0.18363147,0.18228261,0.21323596,0.27277322,0.2873048
64.457,0.22508446,0.19934648,0.18364667,0.18662673,0.18208646,0.21306733,0.27442466,0.28348041
64.836,0.22933939,0.2073505,0.18977759,0.18316554,0.19245103,0.21046982,0.26741314,0.26979723
65.215,0.2310921,0.18831052,0.19732009,0.20052694,0.22177049,0.20631251,0.26127361,0.28732047
