,X,Y0,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y9,Y10,Y11,mean,std
70,60.0,0.7723088121912016,0.7963895031948474,0.8168499169562755,0.8400829653938638,0.8032192755712928,0.7929270075874576,0.6051628211977534,0.8336889199547057,1.1938832385125542,0.7831636364338533,0.966876210823386,0.8367774825288357,0.144991029011846
71,61.0,0.820398429079363,0.7598878557249558,0.7391939454313808,0.7673234738596735,0.7137210676867884,0.751379665151657,0.5797781571104824,0.8290094962240584,1.0792579184860722,0.8046208864480829,0.9745969551787879,0.8017425318528457,0.13205848989571037
72,62.0,0.7264366040802657,0.7251194275993186,0.7199546697317407,0.7318838899491855,0.7147679245989357,0.7053544275626251,0.48962311468346276,0.8182590358282951,1.0863620194431967,0.7172083614471666,0.9630375985839219,0.7634551885007377,0.1535263467614043
73,63.0,0.6964773513560429,0.7271662921808788,0.738978850967858,0.7715908368364703,0.7200424526859831,0.7930513181545786,0.5255137202020822,0.8365473713843495,1.111078052466198,0.6731570850509739,0.8823688511248661,0.7705429256736619,0.14620898282598171
74,64.0,0.7736118851542131,0.7575753006361333,0.7385225087126294,0.7619913903692707,0.6279184639018146,0.7145669551496981,0.5367465788571373,,1.0055640824119163,0.6606236314585073,0.9314092827373669,0.7508530079388687,0.136922542342033
75,65.0,0.6859383089249035,0.6820719002594853,0.669592504609504,0.696048758388804,0.624275979708975,0.6896189536864378,0.5731097685404651,,1.18205422335144,0.6551072193491531,0.9474458798130455,0.7405263496632214,0.18336352766069342
76,66.0,0.6824654660632488,0.6276301240330575,0.6509328724741615,0.6838682682987193,0.5896866660800508,0.6532534760332764,0.510558201619744,,0.991161779949176,0.6571527744168708,0.7903218976918932,0.6837031526660199,0.12934380474446053
77,67.0,0.6909958243432515,0.5676272507668568,0.6243570924607653,0.639491076677653,0.585696370341636,0.6360100384534908,0.5466029818181011,,1.0478259584924672,0.6597913243867323,0.9382277749510549,0.6936625692692008,0.1655388362528548
78,68.0,0.723187631893442,0.5983653436791765,0.630187409970947,0.6682594232008328,0.5364506950473708,0.628598842966353,0.4346587608255549,,1.018875170975873,0.6187264200915346,0.859757459305941,0.6717067157957026,0.16492595008821911
79,69.0,0.691466262943672,0.5056982238451335,0.6551879761658491,0.6783933818445954,0.5580590587818313,0.6244023317897778,0.5131710218980456,,1.0319125812979277,0.5693476861518206,0.8339010898868755,0.6661539614605528,0.16151306138002988
80,70.0,0.6110127528222334,0.5930495255336652,0.6071182270535261,0.6402509570422141,0.5621248374589547,0.5950008623358743,0.5158971661882322,,1.0451435516978942,0.6658478645624489,0.8132491095873572,0.66486948542824,0.15501132887541566
